TIMESTAMP	Soil moisture at - 0.04 m (%)	Soil moisture at - 0.1 m (%)	Soil moisture at - 0.2 m (%)	Soil moisture at - 0.4 m (%)	Soil moisture at - 0.8 m (%)	Soil moisture at - 1.2 m (%)	Soil moisture at - 1.6 m (%)	Soil temperature at - 0.00 m (°C)	Soil temperature at - 0.04 m (°C)	Soil temperature at - 0.1 m (°C)	Soil temperature at - 0.2 m (°C)	Soil temperature at - 0.4 m (°C)	Soil temperature at - 0.8 m (°C)	Soil temperature at - 1.2 m (°C)	Soil temperature at - 1.6 m (°C)
2016-01-30	7.476680555555556	7.045270833333333	8.080833333333334	8.229166666666666	4.7535625	3.4744722222222224	5.205472222222222	-16.399652777777778	-15.535763888888889	-15.042847222222223	-14.67375	-13.788958333333333	-12.303055555555554	-9.511805555555556	-7.916847222222223
2016-01-31	7.512659722222223	7.077951388888889	8.112152777777778	8.249444444444444	4.762381944444445	3.4658194444444446	5.190409722222222	-15.972916666666666	-15.297708333333333	-14.795694444444443	-14.44409722222222	-13.605208333333334	-12.205347222222223	-9.55625	-8.013680555555556
2016-02-01	7.567229166666667	7.126770833333334	8.158472222222223	8.276041666666666	4.774145833333333	3.4703333333333335	5.1798472222222225	-15.360999999999999	-14.79159722222222	-14.356180555555556	-14.082500000000001	-13.372152777777778	-12.090763888888889	-9.577777777777778	-8.086805555555555
2016-02-02	7.5528125	7.122201388888889	8.164236111111112	8.29875	4.788	3.4668055555555557	5.171513888888889	-16.155319444444444	-15.038541666666667	-14.4825	-14.058472222222223	-13.209305555555556	-11.95875	-9.579722222222223	-8.143055555555556
2016-02-03	7.560777777777777	7.1295625	8.173958333333333	8.304305555555555	4.796986111111111	3.4672430555555556	5.166583333333333	-16.2698125	-14.995694444444446	-14.434652777777778	-14.001944444444444	-13.153194444444445	-11.891875	-9.569097222222222	-8.180347222222222
2016-02-04	7.548076388888889	7.122173611111112	8.17013888888889	8.309305555555556	4.800104166666667	3.467736111111111	5.161506944444444	-17.26748611111111	-15.126041666666667	-14.526041666666666	-14.030416666666667	-13.135694444444445	-11.853055555555555	-9.564444444444444	-8.211944444444445
2016-02-05	7.47711111111111	7.061013888888889	8.11486111111111	8.290069444444445	4.7981875	3.463416666666667	5.155798611111111	-17.812770833333335	-15.835347222222222	-15.15076388888889	-14.521597222222223	-13.33125	-11.878333333333334	-9.569166666666668	-8.241666666666667
2016-02-06	7.502465277777778	7.074479166666666	8.118125	8.26923611111111	4.784916666666667	3.4615763888888886	5.153069444444444	-16.673305555555558	-15.507083333333334	-14.959236111111112	-14.489513888888887	-13.466527777777777	-12.000902777777778	-9.601388888888888	-8.276111111111112
2016-02-07	7.5467708333333325	7.109645833333333	8.145416666666668	8.271875	4.782715277777778	3.4565486111111112	5.145611111111111	-14.787576388888889	-14.903402777777778	-14.507222222222222	-14.223680555555555	-13.388819444444444	-12.030902777777778	-9.653263888888889	-8.324861111111112
2016-02-08	7.595534722222222	7.153270833333333	8.183263888888888	8.293402777777779	4.786458333333333	3.4516805555555554	5.137652777777777	-14.024361111111112	-14.431666666666665	-14.093402777777778	-13.888333333333334	-13.18986111111111	-11.972777777777777	-9.690833333333334	-8.375902777777778
2016-02-09	7.700645833333334	7.242708333333334	8.263055555555555	8.33625	4.8001805555555555	3.4549583333333334	5.13125	-11.75354861111111	-13.361944444444445	-13.160763888888889	-13.17236111111111	-12.800069444444444	-11.8275	-9.702916666666667	-8.420625
2016-02-10	7.815291666666667	7.350944444444445	8.373194444444444	8.412708333333335	4.827125	3.4524097222222223	5.130027777777778	-11.290777777777778	-12.425208333333334	-12.239583333333334	-12.350833333333334	-12.227847222222222	-11.537708333333335	-9.669444444444444	-8.441041666666667
2016-02-11	7.920319444444445	7.448854166666667	8.478958333333333	8.494583333333333	4.863729166666666	3.460423611111111	5.130076388888889	-10.502854166666667	-11.70298611111111	-11.510763888888889	-11.64875	-11.644861111111112	-11.167361111111111	-9.57673611111111	-8.430069444444445
2016-02-12	7.993361111111112	7.538618055555555	8.586527777777778	8.587708333333333	4.905368055555556	3.4733194444444444	5.128458333333334	-12.161666666666667	-11.46513888888889	-11.05125	-10.977222222222222	-10.996597222222222	-10.745416666666666	-9.436944444444444	-8.381388888888889
2016-02-13	7.876680555555556	7.4483125	8.517222222222223	8.562152777777778	4.937763888888889	3.4870069444444445	5.138659722222222	-12.70861111111111	-12.054097222222222	-11.598472222222222	-11.348541666666668	-10.945069444444444	-10.443333333333333	-9.255763888888888	-8.29548611111111
2016-02-14	7.762791666666668	7.345486111111111	8.432777777777778	8.547291666666666	4.941791666666666	3.4994305555555556	5.150006944444445	-14.020902777777778	-12.92138888888889	-12.365069444444444	-11.934652777777778	-11.20361111111111	-10.409305555555555	-9.109166666666667	-8.20125
2016-02-15	7.710152777777777	7.286090277777777	8.373472222222222	8.498888888888889	4.927833333333333	3.504125	5.158256944444444	-14.303680555555555	-13.440694444444444	-12.930347222222222	-12.456944444444444	-11.607777777777777	-10.568958333333335	-9.043958333333332	-8.134444444444446
2016-02-16	7.692770833333333	7.262479166666667	8.34625	8.464375	4.906472222222223	3.5033680555555557	5.161777777777777	-14.442708333333334	-13.683958333333333	-13.20736111111111	-12.736180555555556	-11.896180555555555	-10.770625	-9.057847222222222	-8.10986111111111
