obsnme,obsval,weight,obgnme
stemp_0.04_105,266.4759583333333,0.00019569471624266145,temp
stemp_0.04_106,266.3722847222222,0.00019569471624266145,temp
stemp_0.04_107,266.70754166666666,0.00019569471624266145,temp
stemp_0.04_108,267.32857638888885,0.00019569471624266145,temp
stemp_0.04_109,266.90434027777775,0.00019569471624266145,temp
stemp_0.04_110,266.62713888888885,0.00019569471624266145,temp
stemp_0.04_111,266.7584930555555,0.00019569471624266145,temp
stemp_0.04_112,267.3009722222222,0.00019569471624266145,temp
stemp_0.04_113,268.6842013888889,0.00019569471624266145,temp
stemp_0.04_114,268.89645138888886,0.00019569471624266145,temp
stemp_0.04_115,268.87921527777775,0.00019569471624266145,temp
stemp_0.04_116,268.76905555555555,0.00019569471624266145,temp
stemp_0.04_117,268.6162777777778,0.00019569471624266145,temp
stemp_0.04_118,268.8404583333333,0.00019569471624266145,temp
stemp_0.04_119,268.8170069444444,0.00019569471624266145,temp
stemp_0.04_120,269.4814097222222,0.00019569471624266145,temp
stemp_0.04_121,271.5926319444444,0.00019569471624266145,temp
stemp_0.04_122,271.66861805555556,0.00019569471624266145,temp
stemp_0.04_123,271.1574722222222,0.00019569471624266145,temp
stemp_0.04_124,269.9889444444444,0.00019569471624266145,temp
stemp_0.04_125,269.7168263888889,0.00019569471624266145,temp
stemp_0.04_126,269.83846527777774,0.00019569471624266145,temp
stemp_0.04_127,269.17090277777777,0.00019569471624266145,temp
stemp_0.04_128,269.0238472222222,0.00019569471624266145,temp
stemp_0.04_129,269.4625833333333,0.00019569471624266145,temp
stemp_0.04_130,269.6704444444444,0.00019569471624266145,temp
stemp_0.04_131,270.7286805555555,0.00019569471624266145,temp
stemp_0.04_132,271.6936736111111,0.00019569471624266145,temp
stemp_0.04_133,271.6435069444444,0.00019569471624266145,temp
stemp_0.04_134,271.9904305555555,0.00019569471624266145,temp
stemp_0.04_135,271.99538194444443,0.00019569471624266145,temp
stemp_0.04_136,272.02106944444444,0.00019569471624266145,temp
stemp_0.04_137,272.1001319444444,0.00019569471624266145,temp
stemp_0.04_138,272.22193749999997,0.00019569471624266145,temp
stemp_0.04_139,272.43390277777775,0.00019569471624266145,temp
stemp_0.04_140,272.5417777777778,0.00019569471624266145,temp
stemp_0.04_141,272.5396736111111,0.00019569471624266145,temp
stemp_0.04_142,272.5386597222222,0.00019569471624266145,temp
stemp_0.04_143,272.53707638888886,0.00019569471624266145,temp
stemp_0.04_144,272.53560416666664,0.00019569471624266145,temp
stemp_0.04_145,272.53429861111107,0.00019569471624266145,temp
stemp_0.04_146,272.5342361111111,0.00019569471624266145,temp
