iteration,_is_super,_lambda,_scale_factor,alpha_p,alpha_m,n_p,n_m,wr_p,wr_m,tcs_p,tcs_m,tcd_p,tcd_m,af_p,af_m,auf_p,auf_m,por_p,por_m,perm_p,perm_m,den_p,den_m
9,0,0.1,1,0.01,0.00188126,1.50438,1.48398,0.226064,0.160398,0.440261,0.951241,0.101071,0.984086,1.50544,1.49947,0.486837,0.698821,0.638356,0.479666,6.42394e-11,1e-13,900,2300
9,0,0.1,0.75,0.01,0.00182491,1.50639,1.48361,0.224324,0.159488,0.439577,0.952105,0.101023,0.984405,1.50511,1.49939,0.486935,0.698884,0.637395,0.481031,5.34662e-11,1e-13,900,2300
9,0,1,1,0.01,0.00199665,1.51154,1.48256,0.220003,0.157515,0.437864,0.954376,0.100928,0.985249,1.50427,1.49917,0.487177,0.699048,0.635158,0.484488,6.2609e-11,1e-13,900,2300
9,0,1,0.75,0.01,0.00191145,1.51176,1.48255,0.219778,0.157326,0.437779,0.954456,0.100916,0.985277,1.50424,1.49917,0.487191,0.699054,0.634996,0.484647,5.22434e-11,1e-13,900,2300
9,0,10,1,0.01,0.00199946,1.51234,1.48251,0.219197,0.156847,0.437559,0.954666,0.100887,0.985353,1.50415,1.49914,0.487226,0.699069,0.634581,0.485058,6.18272e-11,1e-13,900,2300
9,0,10,0.75,0.01,0.00191356,1.51236,1.48251,0.219173,0.156825,0.43755,0.954673,0.100885,0.985356,1.50415,1.49914,0.487227,0.69907,0.634564,0.485075,5.16571e-11,1e-13,900,2300
9,0,100,1,0.01,0.00189869,1.51242,1.4825,0.219113,0.156769,0.437527,0.954694,0.100882,0.985363,1.50414,1.49914,0.487231,0.699072,0.634519,0.485117,5.86728e-11,1e-13,900,2300
9,0,100,0.75,0.01,0.00183799,1.51242,1.4825,0.219111,0.156766,0.437526,0.954694,0.100881,0.985363,1.50414,1.49914,0.487231,0.699072,0.634517,0.48512,4.92913e-11,1e-13,900,2300
9,0,1000,1,0.01,0.00165092,1.51243,1.4825,0.219104,0.156758,0.437523,0.954695,0.100881,0.985364,1.50414,1.49914,0.487232,0.699072,0.634513,0.485126,2.12103e-11,1e-13,900,2300
9,0,1000,0.75,0.01,0.00165216,1.51243,1.4825,0.219104,0.156757,0.437523,0.954696,0.100881,0.985364,1.50414,1.49914,0.487232,0.699072,0.634513,0.485126,2.11943e-11,1e-13,900,2300
