iteration,_is_super,_lambda,_scale_factor,alpha_p,alpha_m,n_p,n_m,wr_p,wr_m,tcs_p,tcs_m,tcd_p,tcd_m,af_p,af_m,auf_p,auf_m,por_p,por_m,perm_p,perm_m,den_p,den_m,albedo_bg,e_bg,pen_w,pen_s,z_bg,z_s
5,0,100,0.75,0.0025,0.000572374,1.27705,1.96341,0.142149,0.207995,0.534717,0.669291,0.157307,0.958804,1.29317,1.50114,0.322271,0.710999,0.45172,0.358969,5.94991e-11,1.75e-13,900,1900,0.491464,0.768482,0.00963636,0.0345851,0.0279702,0.00875
5,0,1000,1,0.0025,0.000602181,1.27815,1.96335,0.141949,0.207403,0.533539,0.669409,0.157326,0.958808,1.29338,1.50117,0.322691,0.711014,0.452495,0.359999,5.51476e-11,1.75e-13,900,1900,0.492291,0.769267,0.00955101,0.0346504,0.0302432,0.00875
5,0,1000,0.75,0.0025,0.000605642,1.27819,1.96335,0.14194,0.20738,0.533493,0.669414,0.157327,0.958809,1.29339,1.50117,0.322707,0.711014,0.452524,0.360041,5.46333e-11,1.75e-13,900,1900,0.492328,0.769302,0.00954774,0.0346533,0.0303579,0.00875
6,0,0.1,1,0.0025,0.000456229,1.2668,1.96355,0.140054,0.212003,0.548481,0.661415,0.157827,0.958849,1.28802,1.50013,0.313947,0.711932,0.445764,0.352739,7.51933e-11,1.75e-13,900,1900,0.485095,0.764829,0.0101823,0.035,0.0238633,0.00875
6,0,0.1,0.75,0.0025,0.000456229,1.26756,1.96363,0.140626,0.212125,0.547285,0.663111,0.157658,0.958833,1.28891,1.50034,0.315238,0.711685,0.445841,0.352674,7.48013e-11,1.75e-13,900,1900,0.485643,0.764863,0.0101823,0.0348278,0.0237287,0.00875
6,0,1,1,0.0025,0.000456229,1.26709,1.96379,0.141051,0.212203,0.548016,0.666106,0.156697,0.958664,1.2906,1.50074,0.31681,0.711075,0.445299,0.351791,7.42067e-11,1.75e-13,900,1900,0.486351,0.764594,0.0101823,0.035,0.0238296,0.00875
6,0,1,0.75,0.0025,0.000456229,1.26778,1.96381,0.141374,0.212275,0.546937,0.666629,0.15681,0.958694,1.29084,1.50079,0.317385,0.711043,0.445492,0.351963,7.40614e-11,1.75e-13,900,1900,0.486584,0.764687,0.0101823,0.0348278,0.0237034,0.00875
6,0,10,1,0.0025,0.000456229,1.26857,1.96391,0.142534,0.212712,0.545444,0.667783,0.157092,0.958764,1.29133,1.50091,0.31849,0.710966,0.445398,0.35154,7.13261e-11,1.73888e-13,900,1900,0.486803,0.764545,0.0101823,0.035,0.0238347,0.00875
6,0,10,0.75,0.0025,0.000456229,1.26889,1.96391,0.142485,0.212657,0.545008,0.667887,0.157107,0.958769,1.29139,1.50092,0.318645,0.71096,0.445566,0.351775,7.19009e-11,1.74166e-13,900,1900,0.486923,0.764651,0.0101823,0.0348278,0.0237073,0.00875
6,0,100,1,0.0025,0.000456229,1.26908,1.96392,0.142755,0.212771,0.544702,0.668026,0.157178,0.958784,1.29146,1.50093,0.318835,0.710953,0.445633,0.351898,5.82146e-11,1.75e-13,900,1900,0.486951,0.76463,0.0101823,0.035,0.0240662,0.00875
6,0,100,0.75,0.0025,0.000456229,1.26927,1.96391,0.142651,0.212701,0.544452,0.668069,0.157171,0.958784,1.29149,1.50094,0.318904,0.710951,0.445742,0.352043,6.20673e-11,1.75e-13,900,1900,0.487035,0.764715,0.0101823,0.0348278,0.0238809,0.00875
6,0,1000,1,0.0025,0.000456229,1.26971,1.96389,0.142429,0.212548,0.543886,0.668168,0.157158,0.958786,1.29156,1.50094,0.319062,0.710946,0.445989,0.352374,7.36301e-11,1.75e-13,900,1900,0.487223,0.764906,0.0101823,0.0344477,0.0235003,0.00875
