iteration,_is_super,_lambda,_scale_factor,alpha_p,alpha_m,n_p,n_m,wr_p,wr_m,tcs_p,tcs_m,tcd_p,tcd_m,af_p,af_m,auf_p,auf_m,por_p,por_m,perm_p,perm_m,den_p,den_m
5,0,1,0.75,0.0025,0.000524993,2.03848,2.04895,0.233315,0.170653,0.445626,0.951394,0.106042,0.984508,1.50492,1.49939,0.483839,0.698884,0.650754,0.483916,3.7837e-11,2.5e-14,900,1900
5,0,10,1,0.0025,0.000456229,2.03897,2.04896,0.233015,0.170355,0.445437,0.951418,0.10589,0.984508,1.50492,1.49939,0.483943,0.698884,0.650203,0.483939,4.64391e-11,2.5e-14,900,1900
5,0,10,0.75,0.0025,0.000524993,2.03899,2.04896,0.233002,0.170342,0.445429,0.951419,0.105883,0.984508,1.50492,1.49939,0.483947,0.698884,0.65018,0.48394,3.8171e-11,2.5e-14,900,1900
5,0,100,1,0.0025,0.000456229,2.03904,2.04897,0.23297,0.170312,0.44541,0.951421,0.105868,0.984507,1.50493,1.49939,0.483957,0.698884,0.650125,0.483942,4.9028e-11,2.5e-14,900,1900
5,0,100,0.75,0.0025,0.000524993,2.03904,2.04897,0.232968,0.17031,0.445409,0.951422,0.105868,0.984507,1.50493,1.49939,0.483958,0.698884,0.650122,0.483942,4.01127e-11,2.5e-14,900,1900
5,0,1000,1,0.0025,0.000731287,2.03905,2.04897,0.232963,0.170306,0.445406,0.951422,0.105865,0.984507,1.50493,1.49939,0.483959,0.698884,0.650113,0.483941,1.33666e-11,2.5e-14,900,1900
5,0,1000,0.75,0.0025,0.000731287,2.03905,2.04897,0.232963,0.170306,0.445406,0.951422,0.105865,0.984507,1.50493,1.49939,0.483959,0.698884,0.650113,0.483941,1.33666e-11,2.5e-14,900,1900
6,0,0.1,1,0.0025,0.000456229,2.02464,2.04869,0.236514,0.176173,0.450693,0.950679,0.110229,0.984512,1.50459,1.49943,0.481247,0.698884,0.664509,0.483249,1.33666e-11,2.5e-14,900,1900
6,0,0.1,0.75,0.0025,0.000456229,2.02646,2.04871,0.236261,0.1756,0.450069,0.950777,0.109698,0.984512,1.50464,1.49943,0.481545,0.698884,0.662741,0.483278,2.11242e-11,2.5e-14,900,1900
6,0,1,1,0.0025,0.000456229,2.03111,2.04875,0.235776,0.174189,0.44847,0.95103,0.108339,0.984512,1.50477,1.49943,0.482309,0.698884,0.658279,0.483373,1.33666e-11,2.5e-14,900,1900
6,0,1,0.75,0.0025,0.000456229,2.03131,2.04876,0.235707,0.174112,0.448402,0.95104,0.108281,0.984512,1.50478,1.49943,0.482342,0.698884,0.658069,0.483371,2.11242e-11,2.5e-14,900,1900
6,0,10,1,0.0025,0.000456229,2.03182,2.04876,0.235531,0.173914,0.448226,0.951068,0.108131,0.984512,1.50479,1.49943,0.482426,0.698884,0.657523,0.483367,1.33666e-11,2.5e-14,900,1900
6,0,10,0.75,0.0025,0.000456229,2.03184,2.04876,0.235523,0.173906,0.448219,0.951069,0.108125,0.984512,1.50479,1.49943,0.482429,0.698884,0.657501,0.483367,2.11242e-11,2.5e-14,900,1900
6,0,100,1,0.0025,0.000456229,2.0319,2.04876,0.235503,0.173885,0.448201,0.951072,0.10811,0.984512,1.50479,1.49943,0.482437,0.698884,0.657445,0.483367,1.33666e-11,2.5e-14,900,1900
6,0,100,0.75,0.0025,0.000456229,2.0319,2.04876,0.235503,0.173885,0.448201,0.951072,0.108109,0.984512,1.50479,1.49943,0.482438,0.698884,0.657443,0.483367,2.11242e-11,2.5e-14,900,1900
6,0,1000,1,0.0025,0.000456229,2.0319,2.04876,0.235501,0.173883,0.448199,0.951072,0.108108,0.984512,1.50479,1.49943,0.482438,0.698884,0.657438,0.483366,4.4397e-11,2.5e-14,900,1900
6,0,1000,0.75,0.0025,0.000456229,2.0319,2.04876,0.235501,0.173883,0.448199,0.951072,0.108108,0.984512,1.50479,1.49943,0.482439,0.698884,0.657438,0.483366,4.4397e-11,2.5e-14,900,1900
7,0,0.1,1,0.0025,0.000456229,2.01508,2.04838,0.236622,0.17827,0.453825,0.950212,0.112823,0.984512,1.50438,1.49943,0.47984,0.698884,0.673316,0.484244,1.33666e-11,2.5e-14,900,1900
7,0,0.1,0.75,0.0025,0.000456229,2.01747,2.04846,0.236595,0.177746,0.453042,0.950329,0.112175,0.984512,1.50443,1.49943,0.480192,0.698884,0.671114,0.483996,1.33666e-11,2.5e-14,900,1900
