iteration,_is_super,_lambda,_scale_factor,alpha_p,alpha_m,n_p,n_m,wr_p,wr_m,tcs_p,tcs_m,tcd_p,tcd_m,af_p,af_m,auf_p,auf_m,por_p,por_m,perm_p,perm_m,den_p,den_m
5,0,100,0.75,0.0025,0.0031936,2.03538,2.04902,0.231956,0.166315,0.456369,0.949563,0.114161,0.982413,1.5035,1.49943,0.479657,0.698833,0.651158,0.483089,4.16258e-11,2.5e-14,900,1900
5,0,1000,1,0.0025,0.0031936,2.03538,2.04902,0.231954,0.166308,0.456361,0.949564,0.114155,0.982414,1.5035,1.49943,0.479661,0.698833,0.651153,0.48309,4.16258e-11,2.5e-14,900,1900
5,0,1000,0.75,0.0025,0.0031936,2.03538,2.04902,0.231954,0.166308,0.456361,0.949564,0.114155,0.982414,1.5035,1.49943,0.479661,0.698833,0.651153,0.48309,4.16258e-11,2.5e-14,900,1900
6,0,0.1,1,0.0025,0.0031936,2.02352,2.04877,0.234137,0.175813,0.469911,0.947758,0.123999,0.981263,1.50236,1.4995,0.474108,0.698814,0.660371,0.480492,1.33666e-11,2.5e-14,900,1900
6,0,0.1,0.75,0.0025,0.0031936,2.02421,2.04876,0.23411,0.175322,0.469167,0.947854,0.123471,0.981335,1.50243,1.4995,0.474406,0.698819,0.659869,0.480662,2.64403e-11,2.5e-14,900,1900
6,0,1,1,0.0025,0.0031936,2.02599,2.04873,0.234076,0.174103,0.467263,0.948102,0.12212,0.981524,1.5026,1.49949,0.475172,0.698832,0.65858,0.481103,1.33666e-11,2.5e-14,900,1900
6,0,1,0.75,0.0025,0.0031936,2.02606,2.04873,0.234065,0.174039,0.467181,0.948112,0.122062,0.981531,1.50261,1.49949,0.475204,0.698832,0.658525,0.481119,2.64403e-11,2.5e-14,900,1900
6,0,10,1,0.0025,0.0031936,2.02625,2.04872,0.234036,0.173876,0.466969,0.94814,0.12191,0.981549,1.50263,1.49949,0.475288,0.698833,0.658384,0.481163,1.33666e-11,2.5e-14,900,1900
6,0,10,0.75,0.0025,0.0031936,2.02625,2.04872,0.234034,0.17387,0.466961,0.948141,0.121905,0.98155,1.50263,1.49949,0.475291,0.698833,0.658379,0.481165,2.64403e-11,2.5e-14,900,1900
6,0,100,1,0.0025,0.0031936,2.02627,2.04872,0.234031,0.173853,0.466939,0.948144,0.121889,0.981552,1.50263,1.49949,0.4753,0.698833,0.658365,0.481169,1.33666e-11,2.5e-14,900,1900
6,0,100,0.75,0.0025,0.0031936,2.02627,2.04872,0.234031,0.173852,0.466938,0.948144,0.121889,0.981552,1.50263,1.49949,0.4753,0.698833,0.658364,0.481169,2.64403e-11,2.5e-14,900,1900
6,0,1000,1,0.0025,0.0031936,2.02627,2.04872,0.234031,0.173851,0.466937,0.948144,0.121888,0.981552,1.50263,1.49949,0.475301,0.698833,0.658363,0.481169,6.56617e-11,2.5e-14,900,1900
6,0,1000,0.75,0.0025,0.0031936,2.02627,2.04872,0.234031,0.173851,0.466937,0.948144,0.121887,0.981552,1.50263,1.49949,0.475301,0.698833,0.658363,0.48117,6.56617e-11,2.5e-14,900,1900
7,0,0.1,1,0.0025,0.0031936,2.01458,2.04905,0.234446,0.182046,0.479554,0.946472,0.130882,0.980381,1.5015,1.49956,0.469986,0.698814,0.666752,0.478127,1.33666e-11,2.5e-14,900,1900
7,0,0.1,0.75,0.0025,0.0031936,2.01682,2.04898,0.234369,0.180488,0.477143,0.946794,0.129161,0.980602,1.50172,1.49954,0.471016,0.698814,0.665157,0.478718,1.33666e-11,2.5e-14,900,1900
7,0,1,1,0.0025,0.0031936,2.02259,2.04882,0.23428,0.176613,0.470969,0.947617,0.124756,0.981177,1.50227,1.49951,0.473662,0.698814,0.661062,0.480257,1.33666e-11,2.5e-14,900,1900
7,0,1,0.75,0.0025,0.0031936,2.02283,2.04881,0.234244,0.176413,0.470705,0.947652,0.124567,0.981199,1.50229,1.49951,0.473773,0.698814,0.660889,0.480316,1.33666e-11,2.5e-14,900,1900
7,0,10,1,0.0025,0.0031936,2.02343,2.04878,0.234153,0.175895,0.470018,0.947743,0.124075,0.981254,1.50235,1.4995,0.474063,0.698814,0.660441,0.480469,1.33666e-11,2.5e-14,900,1900
7,0,10,0.75,0.0025,0.0031936,2.02345,2.04878,0.234149,0.175875,0.469991,0.947747,0.124056,0.981256,1.50235,1.4995,0.474074,0.698814,0.660423,0.480475,1.33666e-11,2.5e-14,900,1900
7,0,100,1,0.0025,0.0031936,2.02351,2.04877,0.234138,0.175821,0.469922,0.947756,0.124007,0.981262,1.50236,1.4995,0.474103,0.698814,0.660378,0.48049,1.33666e-11,2.5e-14,900,1900
